"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Taghipour A.","Taghipour, Atour (36810796200)","36810796200","Demand forecasting and order planning in supply chains and humanitarian logistics","2020","Demand Forecasting and Order Planning in Supply Chains and Humanitarian Logistics","","","","1","313","29","10.4018/978-1-7998-3805-0","https://www.scopus.com/pages/publications/85126890071?origin=resultslist","Book","Final","","Scopus","2-s2.0-85126890071"
"Sharifmousavi M.; Kayvanfar V.; Baldacci R.","Sharifmousavi, Mahdi (58976657100); Kayvanfar, Vahid (36782445600); Baldacci, Roberto (6602371948)","58976657100; 36782445600; 6602371948","Distributed Artificial Intelligence Application in Agri-food Supply Chains 4.0","2024","Procedia Computer Science","232","","","211","220","25","10.1016/j.procs.2024.01.021","https://www.scopus.com/pages/publications/85189791150?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189791150"
"Singh D.; Sharma A.; Singh R.K.; Rana P.S.","Singh, Devnaad (57704381400); Sharma, Anupam (55627876957); Singh, Rohit Kumar (56102264100); Rana, Prashant Singh (55533976400)","57704381400; 55627876957; 56102264100; 55533976400","Augmenting supply chain resilience through AI and big data","2025","Business Process Management Journal","31","2","","631","657","25","10.1108/BPMJ-04-2024-0260","https://www.scopus.com/pages/publications/105001078129?origin=resultslist","Article","Final","","Scopus","2-s2.0-105001078129"
"Jebakumar Immanuel D.; Ananda Krishnan P.S.; Hirithik S.; Prasannalakshmi M.; Shalini R.","Jebakumar Immanuel, D. (57220892351); Ananda Krishnan, P.S. (60054050800); Hirithik, S. (60054842000); Prasannalakshmi, M. (60054529600); Shalini, R. (60053897900)","57220892351; 60054050800; 60054842000; 60054529600; 60053897900","Revolutionizing MSME Operations with DSILN","2025","Proceedings of the 6th International Conference on Inventive Research in Computing Applications, ICIRCA 2025","","","","1634","1638","0","10.1109/ICIRCA65293.2025.11089609","https://www.scopus.com/pages/publications/105013621977?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105013621977"
"Kaur B.; Chauhan T.; Nalwaya K.; Rakhra M.","Kaur, Baljinder (57212828774); Chauhan, Tanish (58890392800); Nalwaya, Ketan (58890392900); Rakhra, Manik (57202981339)","57212828774; 58890392800; 58890392900; 57202981339","Panel-Based Demand Analysis of OnlineShopping Websites","2023","Proceedings of International Conference on Contemporary Computing and Informatics, IC3I 2023","","","","42","48","2","10.1109/IC3I59117.2023.10398072","https://www.scopus.com/pages/publications/85185228489?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85185228489"
"Dhanalakshmi J.; Prabhu Chakkaravarthy A.","Dhanalakshmi, J. (57215354573); Prabhu Chakkaravarthy, A. (57195415549)","57215354573; 57195415549","Leveraging Machine Learning and AI for Demand Forecasting in Supply Chain Management","2025","Transformative Impact of AI in Supply Chain Management","","","","115","139","0","10.4018/979-8-3373-0923-1.ch005","https://www.scopus.com/pages/publications/105017596379?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105017596379"
"Alii H.M.; Ugli A.A.G.; Mannonov A.; Lalnunthari L.","Alii, Hasan Muhammed (60017740900); Ugli, Azibaev Akhmadkhon Gulomjon (59959322500); Mannonov, Abdurahim (59744921300); Lalnunthari, Lalnunthari (60019515800)","60017740900; 59959322500; 59744921300; 60019515800","Artificial Intelligence and IoT in Logistics management for the Intelligent Supply chain Management For The Future era","2025","2025 International Conference on Computational Innovations and Engineering Sustainability, ICCIES 2025","","","","","","5","10.1109/ICCIES63851.2025.11032715","https://www.scopus.com/pages/publications/105011950164?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105011950164"
"Ghosh S.; Pramanik P.","Ghosh, Sourav (60161483400); Pramanik, Paritosh (57466974400)","60161483400; 57466974400","Exploring AI Applications and Innovations in Supply Chain Management","2026","Lecture Notes in Networks and Systems","1368 LNNS","","","139","161","0","10.1007/978-981-96-6534-1_9","https://www.scopus.com/pages/publications/105020170832?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105020170832"
"Warren Liao T.; Chang P.C.","Warren Liao, T. (7102718917); Chang, P.C. (56122892000)","7102718917; 56122892000","Impacts of forecast, inventory policy, and lead time on supply chain inventoryA numerical study","2010","International Journal of Production Economics","128","2","","527","537","47","10.1016/j.ijpe.2010.07.002","https://www.scopus.com/pages/publications/78049275274?origin=resultslist","Article","Final","","Scopus","2-s2.0-78049275274"
"Omoush M.M.","Omoush, Majd Mohammad (57216992764)","57216992764","Exploring the Impact of Artificial Intelligence Application in Logistics of Women’s Empowerment in the Supply Chain and Logistics Industry: Opportunities and Challenges","2026","Studies in Systems, Decision and Control","674","","","55","67","0","10.1007/978-3-032-23645-6_6","https://www.scopus.com/pages/publications/105040776736?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105040776736"
"Didwania R.; Verma R.; Dhanda N.","Didwania, Rishabh (59258444400); Verma, Rajat (57225817328); Dhanda, Namrata (55440790600)","59258444400; 57225817328; 55440790600","Future ahead for supply chain management","2024","Supply Chain Management: Strategic Implementation in Manufacturing","","","","283","309","0","10.1201/9781003509561-15","https://www.scopus.com/pages/publications/85207539361?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85207539361"
"Srinivas D.; Misra N.; Sharma M.; Dimri A.; Udayai K.; Ahmad V.","Srinivas, D. (57221548527); Misra, Neeti (57866434100); Sharma, Meera (58498788000); Dimri, Anjali (59174265900); Udayai, Kirti (58997848500); Ahmad, Vasim (58246309600)","57221548527; 57866434100; 58498788000; 59174265900; 58997848500; 58246309600","Digitalizing Inventory Systems with Quantum Blockchain and AI","2025","Proceedings - 2025 5th International Conference on Internet of Things: Smart Innovation and Usage, IoT-SIU 2025","","","","","","0","10.1109/IOT-SIU65919.2025.11402776","https://www.scopus.com/pages/publications/105035826496?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105035826496"
"Mishra A.; Mazzone T.","Mishra, Anubhav (57219613227); Mazzone, Thomas (57369977600)","57219613227; 57369977600","Innovating Supply Chain Strategies: A Study of Strategic Flaws and Technological Gap in Supply Chain Management","2025","IISE Annual Conference and Expo 2025, Conference Proceedings","","","","119","124","0","10.21872/2025IISE_5157","https://www.scopus.com/pages/publications/105019225603?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105019225603"
"Han J.; Yang X.","Han, Jiawei (55922365200); Yang, Xinting (17343047800)","55922365200; 17343047800","Smart Supply Chains for Agricultural Products: Key Technologies, Research Progress and Future Direction","2025","Smart Agriculture","7","3","","1","16","2","10.12133/j.smartag.SA202501006","https://www.scopus.com/pages/publications/105012147845?origin=resultslist","Article","Final","","Scopus","2-s2.0-105012147845"
"Khare A.; Goyal A.K.","Khare, Ankur (60606871800); Goyal, Amit Kumar (57217223147)","60606871800; 57217223147","Integrating Artificial Intelligence and Big Data in Supply Chain Management for Increased Efficiency and Sustainability","2026","Lecture Notes in Networks and Systems","1856 LNNS","","","447","458","0","10.1007/978-3-032-18913-4_42","https://www.scopus.com/pages/publications/105038975325?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105038975325"
"Chen S.","Chen, Shaoni (59313008000)","59313008000","Application of Artificial Intelligence in Cross-Border E-Commerce Inventory Management and Forecasting","2025","Lecture Notes in Networks and Systems","1352 LNNS","","","73","81","0","10.1007/978-3-031-88294-4_8","https://www.scopus.com/pages/publications/105007766344?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105007766344"
"Johnson L.L.; Ebakivie O.","Johnson, Laquanda Leaven (57216656078); Ebakivie, Oghenetejiri (59959756400)","57216656078; 59959756400","Triple A: How Analytics, AI, and Algorithms Are Improving Inventory Management in Healthcare","2026","Logistics","10","5","103","","","0","10.3390/logistics10050103","https://www.scopus.com/pages/publications/105040259877?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105040259877"
"Wang L.","Wang, Liqin (60642451000)","60642451000","AI-Enabled Collaborative Decision-Making Mechanisms and Efficiency Improvement Paths for Industrial Supply Chains","2026","Engineering Reports","8","5","e70818","","","0","10.1002/eng2.70818","https://www.scopus.com/pages/publications/105039579097?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105039579097"
"Mishra H.","Mishra, Harshit (58989822200)","58989822200","Artificial Intelligence Technologies in Agriculture","2025","AgriTech Revolution: Next-Gen Solutions and Challenges in Modern Agriculture","","","","371","396","0","10.1007/978-981-95-1268-3_19","https://www.scopus.com/pages/publications/105025629491?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105025629491"
"Kumar B.R.; Ali S.R.M.; Praveen R.V.S.; Thangam A.; Malik N.; Kalra G.","Kumar, B. Rajesh (59280802700); Ali, Syed Rabiya Mohamed (57208344643); Praveen, Rani Venkata Satya (59941847600); Thangam, A. (14632691100); Malik, Neeru (58896085200); Kalra, Gourav (57552368900)","59280802700; 57208344643; 59941847600; 14632691100; 58896085200; 57552368900","A Novel Optimized Hybrid LSTM-Based Dynamic Demand Forecasting Model for Resilient Supply Chains","2025","2025 International Conference on Information, Implementation, and Innovation in Technology, I2ITCON 2025","","","","","","0","10.1109/I2ITCON65200.2025.11210705","https://www.scopus.com/pages/publications/105026284266?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105026284266"
"Magalhães V.S.; Rodrigues L.F.; Pinto L.R.","Magalhães, Virgínia Silva (57222764661); Rodrigues, Lásara Fabrícia (57193258715); Pinto, Luiz Ricardo (26031693900)","57222764661; 57193258715; 26031693900","Strategic-Tactical Integrated Planning in Blood Supply Chains","2026","Lecture Notes in Business Information Processing","582 LNBIP","","","352","365","0","10.1007/978-3-032-25146-6_23","https://www.scopus.com/pages/publications/105038371718?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105038371718"
"Agrawal J.; Agarwal S.","Agrawal, Jhalak (59134777600); Agarwal, Shiv (60202202900)","59134777600; 60202202900","Artificial Intelligence-Based Forecasting and Replenishment Strategies for Inventory Optimization","2025","2025 IEEE 5th International Conference on ICT in Business Industry and Government, ICTBIG 2025","","","","","","0","10.1109/ICTBIG68706.2025.11323759","https://www.scopus.com/pages/publications/105032908061?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105032908061"
"Raman R.; Mookherjee U.K.","Raman, Ramakrishnan (55808097300); Mookherjee, Ujal Kumar (59503287800)","55808097300; 59503287800","Revolutionizing Retail: Empowering Personalized Shopping with Advanced Algorithms","2023","Proceedings of 2023 IEEE Technology and Engineering Management Conference - Asia Pacific, TEMSCON-ASPAC 2023","","","","","","6","10.1109/TEMSCON-ASPAC59527.2023.10531538","https://www.scopus.com/pages/publications/85195119997?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85195119997"
"Sardjono W.; Hidayah A.R.; Indriarto A.E.; Sarim; Radito I.; Perdana W.G.","Sardjono, Wahyu (57194548460); Hidayah, Arrum Rochmani (60560455600); Indriarto, Antonius Eko (60559566500); Sarim (57218938281); Radito, Ilham (60418917700); Perdana, Widhilaga Gia (57211269650)","57194548460; 60560455600; 60559566500; 57218938281; 60418917700; 57211269650","The Furniture Industry's Use of Digital Supply Chain: A Sustainable Strategy for Growth and Efficiency","2025","Proceedings - 7th International Conference on Informatics, Multimedia, Cyber and Information System, ICIMCIS 2025","","","","610","614","0","10.1109/ICIMCIS68501.2025.11327315","https://www.scopus.com/pages/publications/105034947170?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105034947170"
"Singh A.K.; Simha J.B.; Agarwal R.","Singh, Ashish K. (58941421400); Simha, J.B. (22981615100); Agarwal, Rashmi (58144719700)","58941421400; 22981615100; 58144719700","Prediction of Intermittent Demand Occurrence using Machine Learning","2024","EAI Endorsed Transactions on Internet of Things","10","","","","","12","10.4108/eetiot.5381","https://www.scopus.com/pages/publications/85187886586?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85187886586"
"Shashikumar N.","Shashikumar, Nidhi (60248361400)","60248361400","Predictive maintenance and inventory optimization in medical device supply chains: a data-driven approach","2026","Network Modeling Analysis in Health Informatics and Bioinformatics","15","1","4","","","0","10.1007/s13721-025-00673-4","https://www.scopus.com/pages/publications/105025349593?origin=resultslist","Article","Final","","Scopus","2-s2.0-105025349593"
"Harish K.S.; Kotehal P.U.; Sandesh M.M.; Reddy Y.M.; Roopa K.; Lokesh G.R.","Harish, K.S. (59261788100); Kotehal, Poornima U. (59318176500); Sandesh, Muniyappa M. (59317490700); Reddy, Y. Muralidhar (59317843700); Roopa, K. (59500318600); Lokesh, G.R. (59261421000)","59261788100; 59318176500; 59317490700; 59317843700; 59500318600; 59261421000","Artificial Intelligence in Supply Chain Management: Trends and Implications","2024","Nanotechnology Perceptions","20","S7","","1113","1120","6","10.62441/nano-ntp.v20iS7.91","https://www.scopus.com/pages/publications/85203393187?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203393187"
"Nagalakshmi T.J.; Shameem A.; Somaiah A.; Lakhanpal S.; Tiwari M.; Dhanraj J.A.","Nagalakshmi, T.J. (57193998330); Shameem, A. (57194268567); Somaiah, A. (57195601354); Lakhanpal, Sorabh (35191934000); Tiwari, Mohit (24483852000); Dhanraj, Joshuva Arockia (57189578655)","57193998330; 57194268567; 57195601354; 35191934000; 24483852000; 57189578655","The financial dynamics of AI-enhanced supply chain management: Trends and insights","2024","Utilization of AI Technology in Supply Chain Management","","","","208","224","8","10.4018/979-8-3693-3593-2.ch014","https://www.scopus.com/pages/publications/85189572846?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85189572846"
"Ghouati S.; Oulfarsi S.; El Amri A.","Ghouati, Sara (57987856600); Oulfarsi, Salah (57226114419); El Amri, Adil (57988187900)","57987856600; 57226114419; 57988187900","EVOLUTION AND IMPACT OF ARTIFICIAL INTELLIGENCE IN SUSTAINABLE SUPPLY CHAIN MANAGEMENT: SYSTEMATIC REVIEW AND BIBLIOMETRIC ANALYSIS","2025","Corporate Governance and Sustainability Review","9","3 (special issue)","","217","230","1","10.22495/cgsrv9i3sip3","https://www.scopus.com/pages/publications/105017799756?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105017799756"
"Lick J.; Schreckenberg F.; Sahrhage P.; Wohlers B.; Klöcker S.; von Enzberg S.; Kühn A.; Dumitrescu R.","Lick, Jonas (59142014300); Schreckenberg, Felix (57235076400); Sahrhage, Philipp (57219548009); Wohlers, Benedict (57202893036); Klöcker, Susanne (60429066400); von Enzberg, Sebastian (47962774500); Kühn, Arno (56857347600); Dumitrescu, Roman (35101763000)","59142014300; 57235076400; 57219548009; 57202893036; 60429066400; 47962774500; 56857347600; 35101763000","Integrating Domain Expertise and Artificial Intelligence for Effective Supply Chain Management Planning Tasks: A Collaborative Approach","2023","Applied Human Factors and Ergonomics International","113","","","115","125","3","10.54941/ahfe1004185","https://www.scopus.com/pages/publications/105031497407?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105031497407"
"Mohana M.; Yamini B.; Sivasakthi K.; Subhash S.; Gracious L.A.A.","Mohana, Maa (56893701800); Yamini, B. (37011848000); Sivasakthi, K. (59999118300); Subhash, S. (60465314700); Gracious, L. A. Anto (38661095100)","56893701800; 37011848000; 59999118300; 60465314700; 38661095100","AI-Driven Innovations in Supply Chain Management: Enhancing Efficiency and Resilience","2026","Revolutionizing Quick Commerce with AI Tools and Technologies","","","","225","249","0","10.4018/979-8-3373-3486-8.ch009","https://www.scopus.com/pages/publications/105032362347?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105032362347"
"Dwivedi D.","Dwivedi, Dwijendra (57222293333)","57222293333","The use of artificial intelligence in supply chain management and logistics","2023","Leveraging AI and Emotional Intelligence in Contemporary Business Organizations","","","","306","313","31","10.4018/979-8-3693-1902-4.ch018","https://www.scopus.com/pages/publications/85183791386?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85183791386"
"Liu H.","Liu, He (60277202200)","60277202200","Distributed AI-Enabled Intelligent Control System for Enterprise Procurement and Supply-Chain Management","2026","Proceedings of 2025 International Conference on Information Economy, Data Modeling and Cloud Computing, ICIDC 2025","","","","429","437","0","10.1145/3772900.3772969","https://www.scopus.com/pages/publications/105036724660?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105036724660"
"Sunny G.; Vijayalakshmi T.; Mathew M.; Rajesh S.M.K.","Sunny, Georgy (57221765931); Vijayalakshmi, T. (60146090200); Mathew, Manuprasad (60146192700); Rajesh, Shangrella M. K. (60146090300)","57221765931; 60146090200; 60146192700; 60146090300","AI in Fashion System-Design to Customer Feedback","2025","Journal of the Textile Association","86","2","","133","140","0","10.63665/jta.v86i2.3","https://www.scopus.com/pages/publications/105019092699?origin=resultslist","Article","Final","","Scopus","2-s2.0-105019092699"
"El Aouane N.; Sbai A.; Ababou M.; Rabiai S.","El Aouane, Nada (59755985500); Sbai, Abdenabi (59755985600); Ababou, Mariame (58311664000); Rabiai, Sara (59755973000)","59755985500; 59755985600; 58311664000; 59755973000","Technological Innovation in the Hospital Supply Chain","2025","Sustainable Civil Infrastructures","","","","539","551","0","10.1007/978-3-031-86705-7_51","https://www.scopus.com/pages/publications/105003643216?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105003643216"
"Tomar R.S.; Bharti; Sharma A.","Tomar, Rohit Singh (57190026060); Bharti (59386317300); Sharma, Akshay (59386257000)","57190026060; 59386317300; 59386257000","Demand forecasting to optimize supply chain management","2024","Supply Chain Management: Strategic Implementation in Manufacturing","","","","1","13","1","10.1201/9781003509561-1","https://www.scopus.com/pages/publications/85207581439?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85207581439"
"Rao V.V.","Rao, Vijayendra Vittal (60058968100)","60058968100","Leveraging AI for real-time inventory management in perishable goods supply chains","2025","Modernizing the Food Industry: AI-Powered Infrastructure, Security, and Supply Chain Innovation","","","","207","231","1","10.4018/979-8-3373-5288-6.ch010","https://www.scopus.com/pages/publications/105013951429?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105013951429"
"Krishnamoorthi M.; Mathiyarasan M.; Srinivasan K.; Venkatesh P.","Krishnamoorthi, M. (57200370903); Mathiyarasan, M. (57207908367); Srinivasan, K. (59946031500); Venkatesh, P. (57200365332)","57200370903; 57207908367; 59946031500; 57200365332","Applications of Artificial Intelligence (AI) Across Diverse Functional Areas in Supply Chain Management (SCM)","2025","Eco-Logistics and Sustainable Supply Chain Innovations","","","","1","11","0","10.4018/9798369361757.ch001","https://www.scopus.com/pages/publications/105008172837?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105008172837"
"Kiranmayi C.; Sreenivas T.; Shaik K.; Devi S.A.; Subramanyam M.; Mabunni S.","Kiranmayi, Chanduri (60120988900); Sreenivas, T. (58764645400); Shaik, Kahmeera (60121086500); Devi, S. Anitha (60121035600); Subramanyam, M. (60130206800); Mabunni, Sk. (60121086600)","60120988900; 58764645400; 60121086500; 60121035600; 60130206800; 60121086600","The Changing Role of Logistics and Supply Chain in The Digital World","2025","International Journal of Accounting and Economics Studies","12","5","","885","892","0","10.14419/v5xj8865","https://www.scopus.com/pages/publications/105017485533?origin=resultslist","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-105017485533"
"Arnawtee M.M.M.; Ali M.; Fadhelzaiter M.","Arnawtee, Mohammed Mahde. M. (59702790500); Ali, MajidHamid (57397187800); Fadhelzaiter, Murooj (60623379100)","59702790500; 57397187800; 60623379100","Decision Support System for Inventory Management in Organizational Systems Based on Artificial Intelligence","2026","Proceedings - ICSES 2026: 5th International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems","","","","","","0","10.1109/ICSES66558.2026.11478950","https://www.scopus.com/pages/publications/105038355675?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105038355675"
"Glady Agnes L.; Manoj Prabhakar M.; Jemmima L.; Raghavendra Babu J.","Glady Agnes, L. (58914871900); Manoj Prabhakar, M. (60064970600); Jemmima, Lydia (60064908000); Raghavendra Babu, J. (57219216986)","58914871900; 60064970600; 60064908000; 57219216986","A Conceptual Study on Amazon’s Use of AI to Enhance Transparency in Its Supply Chain, Ensuring Sustainable and Ethical Sourcing and Distribution","2025","Lecture Notes in Electrical Engineering","1400 LNEE","","","193","200","0","10.1007/978-981-96-4391-2_21","https://www.scopus.com/pages/publications/105014094177?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105014094177"
"Akanbi L.A.; Adenuga K.I.; Owolabi H.","Akanbi, Lukman A. (57196260329); Adenuga, Kayode I. (57041331400); Owolabi, Hakeem (56769981600)","57196260329; 57041331400; 56769981600","Supply Chain Decision-Making Using Artificial Intelligence and Data Analytics","2024","Environmental Footprints and Eco-Design of Products and Processes","Part F1487","","","25","34","3","10.1007/978-981-99-4819-2_2","https://www.scopus.com/pages/publications/85175162115?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85175162115"
"Sajja G.S.; Addula S.R.; Meesala M.K.; Ravipati P.","Sajja, Guna Sekhar (57289382500); Addula, Santosh Reddy (59156205500); Meesala, Mohan Kumar (59563420800); Ravipati, Pavankumar (57559839300)","57289382500; 59156205500; 59563420800; 57559839300","Optimizing inventory management through AI-driven demand forecasting for improved supply chain responsiveness and accuracy","2025","AIP Conference Proceedings","3306","1","050003","","","16","10.1063/5.0275697","https://www.scopus.com/pages/publications/105008868302?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105008868302"
"Goswami S.S.; Mondal S.; Sarkar S.; Gupta K.K.; Sahoo S.K.; Halder R.","Goswami, Shankha Shubhra (57215653953); Mondal, Surajit (59750277800); Sarkar, Shouvik (59912247400); Gupta, Krishna Kumar (59911989700); Sahoo, Sushil Kumar (58402140800); Halder, Rohit (59912116400)","57215653953; 59750277800; 59912247400; 59911989700; 58402140800; 59912116400","Artificial Intelligence-Enabled Supply Chain Management: Unlocking New Opportunities and Challenges","2025","Artificial Intelligence and Applications","3","1","","110","121","25","10.47852/bonviewAIA42021814","https://www.scopus.com/pages/publications/105005964995?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105005964995"
"Bala P.K.","Bala, Pradip Kumar (26639138400)","26639138400","Improving inventory performance with clustering based demand forecasts","2012","Journal of Modelling in Management","7","1","","23","37","46","10.1108/17465661211208794","https://www.scopus.com/pages/publications/84908668812?origin=resultslist","Article","Final","","Scopus","2-s2.0-84908668812"
"Chaudhary R.; Mittal M.; Arora H.D.; Jindal K.; Chaudhary N.K.","Chaudhary, Riju (57208721590); Mittal, Mandeep (55050909600); Arora, Hari Darshan (49663063300); Jindal, Kunal (59513147200); Chaudhary, Nishant Kumar (59512988900)","57208721590; 55050909600; 49663063300; 59513147200; 59512988900","AI-driven demand forecasting for sustainable inventory model in fuzzy environment","2026","Sustainable Futures","11","","101752","","","0","10.1016/j.sftr.2026.101752","https://www.scopus.com/pages/publications/105034437490?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105034437490"
